attraction_id,nama,deskripsi,total_review,total_rating,img,longitude,latitude,link_detail,kota,provinsi
275,Monkasel (Submarine Monument),Points of Interest & Landmarks,668,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/9f/62/87/most-visit-in-town.jpg?w=500&h=400&s=1,112.7503052,-7.2654304,https://www.tripadvisor.com/Attraction_Review-g297715-d450889-Reviews-Monkasel_Submarine_Monument-Surabaya_East_Java_Java.html,Surabaya,Jawa Timur
276,Bungkul Park,Parks,881,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/ab/86/c8/taman-bungkul.jpg?w=500&h=400&s=1,112.7398218,-7.291346799999999,https://www.tripadvisor.com/Attraction_Review-g297715-d3974881-Reviews-Bungkul_Park-Surabaya_East_Java_Java.html,Surabaya,Jawa Timur
277,Tugu Pahlawan,Points of Interest & Landmarks,404,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/16/67/ba/tugu-pahlawan.jpg?w=500&h=400&s=1,,,https://www.tripadvisor.com/Attraction_Review-g297715-d379338-Reviews-Tugu_Pahlawan-Surabaya_East_Java_Java.html,,
278,Galaxy Mall,Shopping Malls,215,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/2d/a4/9b/inside-mall.jpg?w=500&h=400&s=1,,,https://www.tripadvisor.com/Attraction_Review-g297715-d3218967-Reviews-Galaxy_Mall-Surabaya_East_Java_Java.html,,
279,Surabaya Town Square,Shopping Malls,577,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/39/bc/67/the-large-spacious-mezzanine.jpg?w=500&h=400&s=1,112.7520883,-7.2574719,https://www.tripadvisor.com/Attraction_Review-g297715-d1984984-Reviews-Surabaya_Town_Square-Surabaya_East_Java_Java.html,Surabaya,East Java
280,Suroboyo Monument,Monuments & Statues,247,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/dc/b8/d2/monumen-suroboyo.jpg?w=500&h=400&s=1,,,https://www.tripadvisor.com/Attraction_Review-g297715-d450898-Reviews-Suroboyo_Monument-Surabaya_East_Java_Java.html,,
281,Ampel Mosque,Religious Sites,214,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/a4/8a/81/mesjid-ampel.jpg?w=500&h=-1&s=1,112.7429059,-7.2303353,https://www.tripadvisor.com/Attraction_Review-g297715-d1989128-Reviews-Ampel_Mosque-Surabaya_East_Java_Java.html,Surabaya,Jawa Timur
282,Gereja Santa Perawan Maria,Religious Sites,103,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/e0/6e/52/2.jpg?w=500&h=-1&s=1,106.8145218,-6.2383561,https://www.tripadvisor.com/Attraction_Review-g297715-d447073-Reviews-Gereja_Santa_Perawan_Maria-Surabaya_East_Java_Java.html,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta
283,Pakuwon Food Festival,Points of Interest & Landmarks • Flea & Street Markets,244,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/82/2b/cd/filename-p1070580-jpg.jpg?w=500&h=-1&s=1,112.8029183,-7.27614,https://www.tripadvisor.com/Attraction_Review-g297715-d1992970-Reviews-Pakuwon_Food_Festival-Surabaya_East_Java_Java.html,Surabaya,Jawa Timur
284,Suroboyo Carnival Park,Amusement & Theme Parks,198,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/a0/2e/a2/suroboyo-carnival-night.jpg?w=500&h=-1&s=1,112.7332081,-7.3445104,https://www.tripadvisor.com/Attraction_Review-g297715-d6948995-Reviews-Suroboyo_Carnival_Park-Surabaya_East_Java_Java.html,Surabaya,Jawa Timur
285,Supermal Pakuwon Indah,Shopping Malls,85,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/0e/f2/d1/supermal-pakuwon-indah.jpg?w=500&h=-1&s=1,112.6747131,-7.290524899999999,https://www.tripadvisor.com/Attraction_Review-g297715-d8608302-Reviews-Supermal_Pakuwon_Indah-Surabaya_East_Java_Java.html,Surabaya,Jawa Timur
286,Gubeng Railway Station,Points of Interest & Landmarks • Architectural Buildings,113,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/f1/8d/c9/img-20180203-035645-largejpg.jpg?w=500&h=400&s=1,112.7520353,-7.265677699999999,https://www.tripadvisor.com/Attraction_Review-g297715-d12079787-Reviews-Gubeng_Railway_Station-Surabaya_East_Java_Java.html,Surabaya,Jawa Timur
287,Grand City Surabaya,Shopping Malls,103,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/76/0e/cc/mall.jpg?w=500&h=-1&s=1,112.7504172,-7.261588600000001,https://www.tripadvisor.com/Attraction_Review-g297715-d2321603-Reviews-Grand_City_Surabaya-Surabaya_East_Java_Java.html,Surabaya,Jawa Timur
288,Sanggar Agung Temple,Religious Sites,125,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/77/40/1c/bagus-persis-tepi-pantai.jpg?w=500&h=400&s=1,112.8017679,-7.247648600000001,https://www.tripadvisor.com/Attraction_Review-g297715-d1997553-Reviews-Sanggar_Agung_Temple-Surabaya_East_Java_Java.html,Surabaya,Jawa Timur
289,Kaza City Mall,Shopping Malls,26,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6a/c5/32/mall.jpg?w=500&h=400&s=1,112.758626,-7.2484496,https://www.tripadvisor.com/Attraction_Review-g297715-d10629011-Reviews-Kaza_City_Mall-Surabaya_East_Java_Java.html,Surabaya,Jawa Timur
290,Museum November,Military Museums • History Museums,40,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/2b/ac/00/1483954612430-largejpg.jpg?w=500&h=400&s=1,,,https://www.tripadvisor.com/Attraction_Review-g297715-d11954900-Reviews-Museum_10_November-Surabaya_East_Java_Java.html,,
291,Muhammad Cheng Hoo Mosque,Religious Sites,142,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/e8/4f/d8/kereen-bangunan-masjidnya.jpg?w=500&h=400&s=1,112.7469172,-7.2522687,https://www.tripadvisor.com/Attraction_Review-g297715-d6887457-Reviews-Muhammad_Cheng_Hoo_Mosque-Surabaya_East_Java_Java.html,Surabaya,Jawa Timur
292,Monumen Jalesveva Jayamahe,Monuments & Statues,46,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/56/10/2f/saya-mengambil-foto-ini.jpg?w=500&h=400&s=1,112.7395206,-7.195474799999999,https://www.tripadvisor.com/Attraction_Review-g297715-d447112-Reviews-Monumen_Jalesveva_Jayamahe-Surabaya_East_Java_Java.html,Surabaya,Jawa Timur
293,Blockbuster Museum Surabaya,Speciality Museums,26,5.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/a2/59/4a/img-20190516-wa0012-largejpg.jpg?w=500&h=-1&s=1,112.7795727,-7.2477541,https://www.tripadvisor.com/Attraction_Review-g297715-d17484485-Reviews-Blockbuster_Museum_Surabaya-Surabaya_East_Java_Java.html,Surabaya,Jawa Timur
294,Jalan Pahlawan,Points of Interest & Landmarks,59,3.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/bc/56/28/jalan-pahlawan.jpg?w=500&h=400&s=1,111.843724,2.306179,https://www.tripadvisor.com/Attraction_Review-g297715-d447072-Reviews-Jalan_Pahlawan-Surabaya_East_Java_Java.html,,Sarawak
295,Ciputra Waterpark,Water Parks,151,3.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/a3/23/2b/kolam-renang-ombak.jpg?w=500&h=-1&s=1,112.6333338,-7.2861707,https://www.tripadvisor.com/Attraction_Review-g297715-d1989124-Reviews-Ciputra_Waterpark-Surabaya_East_Java_Java.html,Surabaya,Jawa Timur
296,Jembatan Merah,Bridges,137,3.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/76/e1/5e/kota-tua-nya-surabaya.jpg?w=500&h=-1&s=1,,,https://www.tripadvisor.com/Attraction_Review-g297715-d447113-Reviews-Jembatan_Merah-Surabaya_East_Java_Java.html,,
297,Balai Pemuda,Historic Sites • Architectural Buildings,63,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/a9/57/ed/balai-pemuda.jpg?w=500&h=-1&s=1,112.7452561,-7.2641951,https://www.tripadvisor.com/Attraction_Review-g297715-d3476114-Reviews-Balai_Pemuda-Surabaya_East_Java_Java.html,Surabaya,Jawa Timur
298,ITC Surabaya Mega Grosir,Department Stores • Shopping Malls,40,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/e3/5f/62/itc.jpg?w=500&h=-1&s=1,112.7460695,-7.241554,https://www.tripadvisor.com/Attraction_Review-g297715-d8627299-Reviews-ITC_Surabaya_Mega_Grosir-Surabaya_East_Java_Java.html,Surabaya,Jawa Timur
299,Surabaya Zoo,Zoos,340,2.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/28/91/88/komodo-dragon.jpg?w=500&h=400&s=1,112.7366094,-7.295954600000001,https://www.tripadvisor.com/Attraction_Review-g297715-d1979093-Reviews-Surabaya_Zoo-Surabaya_East_Java_Java.html,Surabaya,Jawa Timur
300,Class Recreational Climbing Center,Sports Complexes,20,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/e5/61/6b/so-many-routes.jpg?w=500&h=400&s=1,,,https://www.tripadvisor.com/Attraction_Review-g297715-d3202674-Reviews-Class_5_Recreational_Climbing_Center-Surabaya_East_Java_Java.html,,
301,Merapi Volcano,Volcanos,"2,236",4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/ac/79/8b/merapi-volcano.jpg?w=500&h=400&s=1,110.4457241,-7.5407175,https://www.tripadvisor.com/Attraction_Review-g294230-d1125234-Reviews-Merapi_Volcano-Yogyakarta_Region_Java.html,Boyolali Regency,Central Java
302,Ullen Sentalu Museum,History Museums,"1,501",4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/75/52/ef/ullen-sentalu.jpg?w=500&h=-1&s=1,110.4233959,-7.5978656,https://www.tripadvisor.com/Attraction_Review-g294230-d1738026-Reviews-Ullen_Sentalu_Museum-Yogyakarta_Region_Java.html,Kabupaten Sleman,Daerah Istimewa Yogyakarta
303,Malioboro Road,Flea & Street Markets,"2,824",4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/56/59/77/photogrid-1470123727649.jpg?w=500&h=400&s=1,110.365846,-7.7926455,https://www.tripadvisor.com/Attraction_Review-g294230-d447268-Reviews-Malioboro_Road-Yogyakarta_Region_Java.html,Kota Yogyakarta,Daerah Istimewa Yogyakarta
304,Water Castle (Tamansari),Points of Interest & Landmarks,"3,275",3.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/42/6e/e2/img-20160513-wa0268-largejpg.jpg?w=500&h=400&s=1,110.3594581,-7.8100673,https://www.tripadvisor.com/Attraction_Review-g294230-d379334-Reviews-Water_Castle_Tamansari-Yogyakarta_Region_Java.html,Yogyakarta City,Special Region of Yogyakarta
